Event	ID	Name			Wwise Object Path	Notes
	1046921192	Play_UI_Power_Tap_Ready			\DEV\Lucas (PLACEHOLDER SOUNDS)\Play_UI_Power_Tap_Ready	
	1268101726	Play_Amb_Hub			\World\Ambience\Play_Amb_Hub	
	1660391987	VFX_Destroy_Leaves			\World\Ambience\VFX_Destroy_Leaves	
	2037655476	VFX_Destroy_Metal			\World\Ambience\VFX_Destroy_Metal	
	2312513128	Play_Level_Entry_CloudsShoosh			\World\Ambience\Play_Level_Entry_CloudsShoosh	
	2379343577	Play_Amb_Lv0_Flag_Destroy			\World\Ambience\Play_Amb_Lv0_Flag_Destroy	
	2977984093	Play_Thommaz_v2			\Default Work Unit\Play_Thommaz_v2	
	2984140529	Play_UI_Challenge_TextPop			\DEV\Lucas (PLACEHOLDER SOUNDS)\Play_UI_Challenge_TextPop	
	3133474680	VFX_Destroy_Wood			\World\Ambience\VFX_Destroy_Wood	
	4075747422	Play_DEBUG_Stereo			\Default Work Unit\Play_DEBUG_Stereo	

State Group	ID	Name			Wwise Object Path	Notes
	646625282	Hub			\Default Work Unit\Hub	

State	ID	Name	State Group			Notes
	26822469	Exit	Hub			
	748895195	None	Hub			
	782826392	Default	Hub			
	2368844905	Enter	Hub			
	3349798655	Phone_Zap	Hub			
	4265022948	Phone_Ringtone	Hub			

Modulator Envelope	ID	Name			Wwise Object Path	Notes
	300298973	Modulator Envelope (Custom)				

Source plug-ins	ID	Name	Type		Wwise Object Path	Notes
	75097291	Sine	Wwise Sine		\Actor-Mixer Hierarchy\_DEBUG\DEBUG_Sounds\Beep_Short\Sine	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	38262972	side_left	I:\MA2\Magenta-Arcade_Wwise\.cache\CA\{CAD7113B-652E-BAC5-4673-0B954425EE5B}.wem		\Interactive Music Hierarchy\Accessibility\Debug Stereo\side_left\side_left		1300
	41468827	world_destructable_leaves_08	I:\MA2\Magenta-Arcade_Wwise\.cache\00\{00B83284-AF12-5A95-794C-56FC1C4F5731}.wem		\Actor-Mixer Hierarchy\World\WORLD_Interactable\Destructables\Leaves\world_destructable_leaves_08		12141
	67829217	world_destructable_wood_09	I:\MA2\Magenta-Arcade_Wwise\.cache\31\{3110F6A2-CE12-CA41-7B7B-60CA3F6172B2}.wem		\Actor-Mixer Hierarchy\World\WORLD_Interactable\Destructables\Wood\world_destructable_wood_09		11440
	177252190	world_destructable_leaves_10	I:\MA2\Magenta-Arcade_Wwise\.cache\4B\{4BB67C09-EC26-2FDD-5C7C-534DDAA139C9}.wem		\Actor-Mixer Hierarchy\World\WORLD_Interactable\Destructables\Leaves\world_destructable_leaves_10		12079
	306624223	world_destructable_leaves_04	I:\MA2\Magenta-Arcade_Wwise\.cache\9C\{9C471038-D70A-6C0A-B9EA-6430D93B23BE}.wem		\Actor-Mixer Hierarchy\World\WORLD_Interactable\Destructables\Leaves\world_destructable_leaves_04		10851
	318317322	world_destructable_leaves_05	I:\MA2\Magenta-Arcade_Wwise\.cache\D4\{D4F20552-36E5-45B1-DBE8-754E1F1AD6BC}.wem		\Actor-Mixer Hierarchy\World\WORLD_Interactable\Destructables\Leaves\world_destructable_leaves_05		10609
	342250292	world_destructable_wood_05	I:\MA2\Magenta-Arcade_Wwise\.cache\2A\{2AC0315D-C7B0-7DB9-FD56-D56AA9DE80D1}.wem		\Actor-Mixer Hierarchy\World\WORLD_Interactable\Destructables\Wood\world_destructable_wood_05		11162
	358167682	world_destructable_wood_04	I:\MA2\Magenta-Arcade_Wwise\.cache\BA\{BA6D8E67-A001-29BE-6C16-9A74BC9C219D}.wem		\Actor-Mixer Hierarchy\World\WORLD_Interactable\Destructables\Wood\world_destructable_wood_04		11701
	363654483	world_destructable_wood_07	I:\MA2\Magenta-Arcade_Wwise\.cache\3A\{3AF119C1-6E40-3929-DFC5-54064BF65C8E}.wem		\Actor-Mixer Hierarchy\World\WORLD_Interactable\Destructables\Wood\world_destructable_wood_07		13064
	396481149	world_destructable_metal_07	I:\MA2\Magenta-Arcade_Wwise\.cache\1F\{1FDDEEBB-470B-52EC-CD45-1869E234E7CF}.wem		\Actor-Mixer Hierarchy\World\WORLD_Interactable\Destructables\Metal\world_destructable_metal_07		14022
